,img,hash
0,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_348.jpg,-7569796e627d7c3d-762e01888ed1c2c2
1,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1146.jpg,6261feff8c7973eb0c0f00c00ff970f0
2,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1620.jpg,2bb1a1b1999991a15b26266041505303
3,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1634.jpg,-1515b7cdcc393365-1d41f7048c597372
4,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1152.jpg,-331252d9b99bdbd3-69e7164dfdbabf94
5,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1185.jpg,642d2d8ca08a8aa4-7d1f93001e8f6011
6,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1191.jpg,54b4b212d061d655130dfc6290418eff
7,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1190.jpg,-57575757571b2b2c00ab3f312089a7ff
8,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1184.jpg,-7577ad6b6b2f85f2-3dc63de003fa1ce3
9,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1635.jpg,6460603232b4b595-7a3ab2b7b595d28c
10,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1153.jpg,-7fbd7debe7864d1e-4eb670f9e9a48840
11,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1147.jpg,-753a011bbffbfbe86e0fffe401800738
12,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_349.jpg,-1d3558240524ab0c0000200ff08200f4
13,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1621.jpg,192c201058698989-2cf3fcff2fbdfff7
14,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_407.jpg,-5e5a69c9e96de5b66b09886445b4b548
15,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1609.jpg,-3733b9f9fab6f3ca7000c00ef6c389e1
16,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_361.jpg,7624945ef00187e9-2990c0031efffb75
17,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_375.jpg,-1685c7c4cfad1d3d-103da745d38efc8d
18,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_413.jpg,6cacaea69e8fb9a96011f8acf004b5eb
19,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_1392.jpg,6c5c44ac6368cbc520fa44b90630e016
20,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_822.jpg,-170f1d3f78f0e3fe18e1e003831e30ff
21,/Users/ck-intosh/Downloads/COMP_8157/Project/Project_work/raw_dataset/leaf_rust/LR_836.jpg,-38d8a571413f3bb618a55798708005ff
